Dialect,序號,詞目,詞性,詞目索引,音讀,音讀（符號）,PFS,PFS輸入式,方言點,釋義,例句,相似詞,相反詞,對應音檔名稱
四縣腔,4509,鋒利, ,詞目分類索引/事物情狀,(文)fung24 li55/(白)pung24 li55,(文)fungˊ li/(白)pungˊ li,(文)fûng-li/(白)phûng-li,(文)fung1-li4/(白)phung1-li4,,器物之銳利。,例：這支刀仔分阿哥磨到鋒利，大家用个時節愛細義。(哥哥把這把刀磨得非常銳利，大家使用時要小心。),利　當利　利鋒鋒仔,鈍,　
四縣腔,4510,靠勢, ,詞目分類索引/人際互動,ko55 se55,ko se,kho-se,kho4-se4,,倚仗威勢或權勢。,例：恃等有人好靠勢，佢做麼个就當霸，麼人就毋驚。(仗著有人做靠山，他做什麼都很霸道，什麼人都不怕。)),傍勢, ,　
四縣腔,4511,鞋㬹, ,詞目分類索引/衣著裝扮,hai11 zang24,haiˇ zangˊ,hài-châng,hai2-chang1,,鞋跟。,例：吾老妹因爭生來矮，故所當好著鞋㬹高高个鞋。(我妹妹因為長得矮，所以很喜歡穿鞋跟高的鞋子。), , ,　
四縣腔,4512,鞋帶仔, , ,hai11 dai55 e31,haiˇ dai eˋ,hài-tai-é,hai2-tai4-e3,,繫綁鞋子的帶子。,例：𠊎緊䌈鞋帶仔，緊喊佢等𠊎。(我一邊繫鞋帶，一邊叫他等我。), , ,　
四縣腔,4513,養分, , ,iong24 fun24,iongˊ funˊ,yông-fûn,yong1-fun1,,具有營養的成分。,例：這泥肉養分毋罅，怕愛落加兜仔肥。(這泥土養分不足，可能要多撒點肥料。)),營養, ,　
四縣腔,4514,養老, , ,iong24 lo31,iongˊ loˋ,yông-ló,yong1-lo3,,年老在家安養。,例：有兜人後生時節去大城市打拚，退休後轉家鄉養老。(有些人年輕的時候去大城市努力工作，退休後回家鄉養老。), , ,　
四縣腔,4515,養女, , ,iong24 ng31,iongˊ ngˋ,yông-ńg,yong1-ng3,,被人收養的女子。,例：吾大姑對歲就無爺無哀，下後正分阿婆揇來做養女。(我大姑姑一歲就失去了父母，後來才被奶奶收為養女。), , ,　
四縣腔,4516,養子, ,"詞目分類索引/宗教民俗
詞目分類索引/稱謂身分",iong24 zii31,iongˊ ziiˋ,yông-chṳ́,yong1-chii3,,1.義子。　2.畜類動物生子。,"例：阿水伯揇个養子對佢當有孝。(阿水伯收養的義子對他很孝順。)
例：屋下狗嫲養子，一綱就歸十隻，阿姆講愛送兜分人畜。(家中母狗生小狗了，一胎就生近十隻，媽媽說要送些給人養。)", , ,　
四縣腔,4517,養老金, , ,iong24 lo31 gim24,iongˊ loˋ gimˊ,yông-ló-kîm,yong1-lo3-kim1,,泛指供老年時安養、生活的費用。,例：盡多人辛苦半生人，都係希望做得在退休前準備好養老金來過後半生人个日仔。(很多人辛苦半輩子，就是希望可以在退休前準備好養老金來過後半輩子的日子。),安老金, ,　
四縣腔,4518,養老院, , ,iong24 lo31 ien55,iongˊ loˋ ien,yông-ló-yen,yong1-lo3-yen4,,供老年人安享晚年的地方。,例：阿堂伯个細人仔愛做頭路無閒，佢自家一儕又毋方便煮食，故所決定同朋友共下搬去養老院。(阿堂伯的小孩工作忙，自己一個人又不方便開伙，所以他決定和朋友一起搬到養老院。),安養院　老人院　安老院, ,　
四縣腔,4519,餓死, ,詞目分類索引/生活狀態,ngo55 xi31,ngo xiˋ,ngo-sí,ngo4-si3,,得不到食物供應，飢餓而死。,例：無轉來食飯也毋講一聲，害𠊎戇戇等你，險險餓死。(不回來吃飯也不說一聲，害我傻傻等你，差點餓死。),枵死, ,　
四縣腔,4520,駕駛, ,"詞目分類索引/交通通訊
詞目分類索引/稱謂身分",ga55 sii31,ga siiˋ,ka-sṳ́,ka4-sii3,,操縱、控制獸力、車船、飛機等交通工具。,例：駕駛飛行機這項頭路無恁該，愛注意个微毛末節十分多。(駕駛飛機這項工作沒這麼容易，要注意的細節非常多。)),駛　開, ,　
四縣腔,4521,鬧熱, ,詞目分類索引/事物情狀,nau55 ngied5,nau ngied,nau-ngie̍t,nau4-ngiet5,,繁忙喧噪。,例：這條老街規劃做觀光區過後，變到當鬧熱。(這條老街規劃成觀光區以後，變得相當熱鬧。), ,冷淡　冷落,　
四縣腔,4522,鬧鐘仔, , ,nau55 zung24 e31,nau zungˊ eˋ,nau-chûng-é,nau4-chung1-e3,,能夠設定時間，當時間到時會發出聲響提醒人的時鐘。,例：鬧鐘仔緊響，會吵醒阿爸，遽遽去撳忒！(鬧鐘一直響，會吵醒爸爸，趕緊去按掉！), , ,　
四縣腔,4523,魷魚仔, , ,iu11 ng11 e31,iuˇ ngˇ eˋ,yù-ǹg-é,yu2-ng2-e3,,動物名。軟體動物門頭足綱，身體為圓錐形的肉質外套膜。常棲息在近海及外洋一帶，喜歡集體活動。肛門附近具有墨囊，碰到危險時，會噴出墨汁，弄濁水面，趁機逃生。,例：阿婆講粽仔个香料肚項愛放魷魚仔，正會香！(奶奶說粽子的香料裡要加魷魚，才有香氣。), , ,　
四縣腔,4524,鴉片, , ,(特)a24 pien31,(特)aˊ pienˋ,(特)â-phién,(特)a1-phien3,,一種藥品。英語 Opium的音譯。由罌粟之未成熟果實中採得的乳汁，於空氣中乾燥所得。製成鴉片粉，可用作鎮痛劑、催眠劑及麻醉劑等。常用會上癮，是一種毒品。　,"頭擺有當多好額人食鴉片，食到身家了淨淨。
從前有很多富人抽鴉片，抽到傾家蕩產。", , ,　
四縣腔,4525,䌈手䌈腳, , ,tag2 su31 tag2 giog2,tagˋ suˋ tagˋ giogˋ,thak-sú-thak-kiok,thak6-su3-thak6-kiok6,,綁手綁腳，比喻做事放不開，顧慮多。,例：你做你放心去做，毋好因為別儕講个話就䌈手䌈腳。(你儘管放心去做，不要因為別人說的話而綁手綁腳。),綯手綯腳, ,　
四縣腔,4526,䌈粽仔, , ,tag2 zung55 e31,tagˋ zung eˋ,thak-chung-é,thak6-chung4-e3,,包粽子。,例：五月節會到吔，阿姆摎阿婆兩子家娘無閒洎杈在灶下䌈粽仔。(端午節快到了，媽媽和奶奶婆媳兩人在廚房忙著包粽子。),包粽仔, ,　
四縣腔,4527,儕儕, ,詞目分類索引/稱謂身分,sa11 sa11,saˇ saˇ,sà-sà,sa2-sa2,,每一個人。,例：這班學生仔，儕儕都當認真，故所成績異好。(這班學生，個個都很認真，所以成績很好。),逐儕　個個　逐個　每儕　每個　各各, ,　
四縣腔,4528,凝凍, ,詞目分類索引/飲食,kien11 dung55,kienˇ dung,khièn-tung,khien2-tung4,,凍結凝固。,例：雞腳滷好，拿落冰箱去凝凍，想食，正拿兜仔出來就好哩。(雞腳滷好，拿進冰箱去結凍，想吃，再拿一些出來就好了。),結凍, ,　
四縣腔,4529,凝油, ,詞目分類索引/飲食,kien11 iu11,kienˇ iuˇ,khièn-yù,khien2-yu2,,油脂遇冷凝結於食物上。,例：天時恁冷，用豬油炒个菜一下仔就凝油哩。(天氣那麼冷，用豬油炒的菜一下子就凝結油塊了。),凝凍, ,　
四縣腔,4530,噼腦筋, , ,biag5 no31 gin24,biag noˋ ginˊ,pia̍k-nó-kîn,piak5-no3-kin1,,腦溢血。病名。因腦血管破裂，造成腦內出血，往往會使病人昏迷、死亡或肢體麻木、言語行動不便。,例：二叔舊年噼腦筋，到今還無法度下眠床。(二叔去年腦溢血，到現在還無法下床。),中風, ,　
四縣腔,4531,壁角, ,"詞目分類索引/空間方位
詞目分類索引/建築住居",biag2 gog2,biagˋ gogˋ,piak-kok,piak6-kok6,,兩面牆相連的轉折處、角落。,例：壁角該位仔當會牽蝲䗁絲，愛較輒兜仔徑掃。(牆角那邊很常有蜘蛛絲，要常清掃。),側角　背角　角落　壁壢角, ,　
四縣腔,4532,學費, ,詞目分類索引/教育文化,hog5 fi55,hog fi,ho̍k-fi,hok5-fi4,,學生繳付給學校，或學習技藝所付的教學費用。,例：今晡日下班个時節，記得去補習班繳學費。(今天下班的時候，記得去補習班繳學費。), , ,　
四縣腔,4533,學會, ,詞目分類索引/教育文化,hog5 fi55,hog fi,ho̍k-fi,hok5-fi4,,一種學術交流團體。主要以研究、交流學術為目的。,例：為著傳承摎推展客家語言、文化，台灣成立盡多摎客家有關个學會。(為了傳承和推展客家語言、文化，台灣成立很多和客家有關的學會。), , ,　
四縣腔,4534,學分, , ,hog5 fun24,hog funˊ,ho̍k-fûn,hok5-fun1,,量詞。計算學科分量的單位。　,"𠊎這學期總共修16學分。
我這學期總共修16學分。", , ,　
四縣腔,4535,學校, ,詞目分類索引/教育文化,hog5 gau31,hog gauˋ,ho̍k-káu,hok5-kau3,,講學研習的一種教育機構。,例：佢頭擺在學校讀書个時節，成績當好。(他以前在學校讀書的時候，成績很好。),學堂, ,　
四縣腔,4536,學員, , ,hog5 ien11,hog ienˇ,ho̍k-yèn,hok5-yen2,,在正規學校教育以外的某種團體或訓練班從事學習的人。,例：這擺參加研習个學員比舊年還較多，教室坐毋落哦！(這次參與研習的學員比去年還多，教室坐不下哦！), , ,　
四縣腔,4537,學院, , ,hog5 ien55,hog ien,ho̍k-yen,hok5-yen4,,學校的名稱或大學的教學一級單位。,例：下學期客家學院會開兩門全新个課程，𠊎準備選修。(下學期客家學院會開兩門全新的課程，我準備選修。), , ,　
四縣腔,4538,學姊, , ,hog5 ji31,hog jiˋ,ho̍k-chí,hok5-chi3,,對年級或年齡較高的女同學之尊稱。,例：該年𠊎還係大一新生，好在有學姊照顧，正無恁緊張。(那年我還是大一新生時，幸好有學姊照顧，才沒有那麼緊張。), , ,　
四縣腔,4539,學期, ,詞目分類索引/教育文化,hog5 ki11,hog kiˇ,ho̍k-khì,hok5-khi2,,通常學校把一學年分為上下兩期，每一期叫一學期。,例：阿姊逐學期个學業成績，都係全班第一名。(姊姊每學期的學業成績，都名列全班第一。), , ,　
四縣腔,4540,學歷, , ,hog5 lid5,hog lid,ho̍k-li̍t,hok5-lit5,,求學的經歷。指畢業或肄業所得的學位。,例：隔壁間公司最近錄取幾下儕高學歷个專才，想愛開發海外个市場。(隔壁公司最近錄取好幾個高學歷的專才，想要開發海外市場。), , ,　
四縣腔,4541,學老, ,詞目分類索引/稱謂身分,hog5 lo31,hog loˋ,ho̍k-ló,hok5-lo3,,泛稱福建（尤指閩南）的人、事、物或語言。,例：大姑嫁去高雄兩年就會講學老，實在還慶！(大姑姑嫁到高雄兩年就會說閩南語，真是厲害！), , ,　
四縣腔,4542,學妹, , ,hog5 moi55,hog moi,ho̍k-moi,hok5-moi4,,對年級或年齡較低的女同學之尊稱。,例：𠊎下晝愛摎學妹共下去圖書館看書。(我下午要和學妹一起去圖書館看書。), , ,　
四縣腔,4543,學問, ,詞目分類索引/教育文化,hog5 mun55,hog mun,ho̍k-mun,hok5-mun4,,經由學習所得的道理與知識。,例：做生理乜係一門學問，係講無用心去研究，怕會了本哦！(做生意也是一門學問，若是沒有用心研究，可能會賠本哦！),學識　學術　字墨, ,　
四縣腔,4544,學術, ,詞目分類索引/教育文化,hog5 sud5,hog sud,ho̍k-su̍t,hok5-sut5,,一切學問的統稱。,例：舉辦這隻活動，主要係為著促進國際學術个交流。(舉辦這個活動，主要是為了促進國際學術交流。),學問, ,　
四縣腔,4545,學弟, , ,hog5 ti55,hog ti,ho̍k-thi,hok5-thi4,,對年級或年齡較低的男同學之尊稱。,例：恁多學弟當中，就佢有參加社團。(這麼多學弟當中，只有他有參加社團。), , ,　
