Dialect,序號,詞目,詞性,詞目索引,音讀,音讀（符號）,PFS,PFS輸入式,方言點,釋義,例句,相似詞,相反詞,對應音檔名稱
四縣腔,13898,上船毋講價，下船惹惹杈杈,諺,"詞目分類索引/人際互動
詞目分類索引/財經法政",song24 son11 m11 gong31 ga55，ha24 son11 ngia55 ngia55 ca55 ca55,songˊ sonˇ mˇ gongˋ ga，haˊ sonˇ ngia ngia ca ca,sông sòn m̀ kóng ka，hâ sòn ngia ngia chha chha,song1 son2 m2 kong3 ka4，ha1 son2 ngia4 ngia4 chha4 chha4,,登上船時就應先講好價錢，否則到了下船時就會吵個沒完；用以比喻凡事醜話先說在前面，先小人後君子。,例：摎逐儕人愛做个事情先講清楚，恁樣正好做事。(把每個人要做的事先講清楚，這樣才好做事。不好上船不講價錢，下船時就吵不停。), , ,hk0000011996-1-1　
四縣腔,13899,桑, ,詞目分類索引/植物,song24,songˊ,sông,song1,,植物名。葉卵形，粗鋸齒緣，可飼蠶。枝幹短小，枝條可編筐，樹皮可製紙，木材堅重，可製成器具。,, , ,hk0000011997-1-1　
四縣腔,13900,桑仔葉, , ,(特)son24 e31 iab5,(特)sonˊ eˋ iab,(特)sôn-é-ya̍p,(特)son1-e3-yap5,,桑葉。,, , ,　hk0000011998-1-1
四縣腔,13901,桑仔園, , ,(特)son24 e31 ien11,(特)sonˊ eˋ ienˇ,(特)sôn-é-yèn,(特)son1-e3-yen2,,桑樹園。,, , ,　hk0000011999-1-1
四縣腔,13902,桑仔樹, , ,(特)son24 e31 su55,(特)sonˊ eˋ su,(特)sôn-é-su,(特)son1-e3-su4,,桑樹。,例：還細時節畜蠶仔，就係摘屋脣該頭桑仔樹个葉仔來畜。(小時候養蠶，就是摘屋旁那棵桑樹的葉子來養。), , ,　hk0000012000-1-1
四縣腔,13903,桑仔子, , ,(特)son24 e31 zii31,(特)sonˊ eˋ ziiˋ,(特)sôn-é-chṳ́,(特)son1-e3-chii3,,桑葚。又稱「酸仔子」。,, , ,　hk0000012001-1-1
四縣腔,13904,商,名, ,song24,songˊ,sông,song1,,1.做生意的人。　2.指做生意之事業。　3.估量、討論。　4.朝代名。　5. 算術中某數以他數除之，所得的數值。　6.姓。,"例：米商。
例：經商。
例：商量。", , ,hk0000012002-1-1　
四縣腔,13905,商場,名,詞目分類索引/產業勞動,song24 cong11,songˊ congˇ,sông-chhòng,song1-chhong2,,許多商店聚集在一起，進行交易的場所。,例：這隻賣電腦个商場，逐日就有當多人出入。(這個賣電腦的商場，每天來往人潮眾多。),賣場　大賣場, ,hk0000012003-1-1　
四縣腔,13906,商店,名,詞目分類索引/產業勞動,song24 diam55,songˊ diam,sông-tiam,song1-tiam4,,買賣物品的店鋪。,例：這條街有當多商店，實在已鬧熱。(這條街有很多商店，非常熱鬧。),店仔　商號　商行, ,hk0000012004-1-1　
四縣腔,13907,商號,名,詞目分類索引/產業勞動,song24 ho55,songˊ ho,sông-ho,song1-ho4,,1.商店。　2.商店名稱。,"例：阿伯打算退休後愛開一家商號。(伯父打算退休後要開一家商店。)
例：這擺開个店，愛用麼个商號？(這次開的店，要用什麼名稱？)",1.店仔　商店　商行, ,hk0000012005-1-1　
四縣腔,13908,商量,動,"詞目分類索引/人際互動
詞目分類索引/財經法政",song24 liong11,songˊ liongˇ,sông-liòng,song1-liong2,,互相討論，交換意見。,例：有麼个事情做得好好商量，莫冤家。(有什麼事情可以好好商量，不要吵架。),參詳　討論, ,hk0000012006-1-1　
四縣腔,13909,商業,名,"詞目分類索引/產業勞動
詞目分類索引/財經法政",song24 ngiab5,songˊ ngiab,sông-ngia̍p,song1-ngiap5,,從事買賣生產的經濟活動，專以營利為目的。,例：對當多國家來講，商業係當重要个產業之一。(對很多國家來說，商業是很重要的產業之一。), , ,hk0000012007-1-1　
四縣腔,13910,喪, , ,song24,songˊ,sông,song1,,有關死者哀葬之事宜。,例：喪事。, , ,hk0000012008-1-1　
四縣腔,13911,喪事,名,詞目分類索引/宗教民俗,song24 sii55,songˊ sii,sông-sṳ,song1-sii4,,人死後殮葬、哀祭等事宜。,例：辦喪事應該愛簡單隆重，做到哀榮。(辦理喪事應該要簡單隆重，盡到哀榮。), , ,hk0000012009-1-1　
四縣腔,13912,傷,動, ,song24,songˊ,sông,song1,,1.人或物體破損之處。　2.損壞。　3.妨害。　4.悲痛。,"例：損傷。
例：傷身。
例：傷感情。
例：傷心。", , ,hk0000012010-1-1　
四縣腔,13913,傷風,名,詞目分類索引/疾病醫療,song24 fung24,songˊ fungˊ,sông-fûng,song1-fung1,,上呼吸道受病毒或細菌感染，常在受冷或受潮後發生流鼻水、咽痛、輕度發燒、怕冷與全身不適等症狀。,例：傷風个人愛多休息，愛食營養个東西正會較遽好。(感染傷風要多休息，要多吃營養的東西才好得快。),感冒, ,hk0000012012-1-1　
四縣腔,13914,傷寒, ,詞目分類索引/疾病醫療,song24 hon11,songˊ honˇ,sông-hòn,song1-hon2,,病名。由沙門氏傷寒桿菌所引起的急性傳染病。潛伏期約為兩週，症狀為發燒、頭痛、發冷、腹痛、便祕或腹瀉、脈博緩慢，甚至出現肝脾腫大、胸腹部有玫瑰疹等病症。可能引起腸胃出血、肺炎等併發症。亦稱為「腸傷寒」。,, , ,hk0000012014-1-1　
四縣腔,13915,傷身,動,詞目分類索引/疾病醫療,song24 siin24,songˊ siinˊ,sông-sṳ̂n,song1-siin1,,損害身體健康。,例：酒毋好啉忒多，會傷身。(酒不要喝太多，會傷身。), , ,hk0000012015-1-1　
四縣腔,13916,常, , ,song11,songˇ,sòng,song2,,1.恆久而不變的、規律的。　2.一般的、平庸的。　3.時時，表示頻繁的意思。　,"倫常。(常識。)
常時。", , ,hk0000012017-1-1　
四縣腔,13917,常時, ,"詞目分類索引/事物情狀
詞目分類索引/時間節令",song11 sii11,songˇ siiˇ,sòng-sṳ̀,song2-sii2,,時常、經常。,例：老妹去國外讀書恁多年，常時會同屋下人聯絡。(妹妹去國外讀書這麼多年，時常會跟家人聯絡。),長透　輒常　時時　時常　常常　輒輒　不時, ,hk0000012018-1-1　
四縣腔,13918,常識, ,詞目分類索引/教育文化,song11 siid2,songˇ siidˋ,sòng-sṳt,song2-siit6,,一般人所應具備、了解的基本知識。,例：大學生愛有麼个該有个常識，你知無？(大學生要有什麼該有的常識，你知道嗎？), , ,hk0000012019-1-1　
四縣腔,13919,常常,副,"詞目分類索引/事物情狀
詞目分類索引/時間節令",song11 song11,songˇ songˇ,sòng-sòng,song2-song2,,經常，表示頻率較高。,例：放尞个時節，爺哀常常同𫣆去遶山。(放假時，爸媽常常和我們去爬山 。),長間　長透　經常　輒輒　輒常　時時　時常　常時　常扯, ,hk0000012020-1-1　
四縣腔,13920,裳,名,詞目分類索引/衣著裝扮,song11,songˇ,sòng,song2,,衣服。,例：衣裳。, , ,hk0000012021-1-1　
四縣腔,13921,嘗, ,"詞目分類索引/宗教民俗
詞目分類索引/飲食",song11,songˇ,sòng,song2,,1.以口來辨別滋味。通「嚐」。　2.試探。　3.祭祀的一種。　4.指大宗族之公田。　,"嘗鹹淡。(嘗試。)
義民嘗。(公嘗。)", , ,hk0000012022-1-1　
四縣腔,13922,嫦, , ,song11,songˇ,sòng,song2,,見「嫦娥」。,, , ,hk0000012023-1-1　
四縣腔,13923,嫦娥, ,詞目分類索引/宗教民俗,song11 ngo11,songˇ ngoˇ,sòng-ngò,song2-ngo2,,人名。為后羿之妻姮娥。相傳因盜食不死之靈藥而飛昇月宮，成為仙女。漢人為避文帝諱，而改「姮」為「嫦」。,, , ,hk0000012024-1-1　
四縣腔,13924,上,動, ,song31,songˋ,sóng,song3,,2.放置、安裝。　1.上聲，漢語聲調之一。,例：上梁、上架。, , ,hk0000012025-1-1　
四縣腔,13925,爽,形,詞目分類索引/思維心態,song31,songˋ,sóng,song3,,1.舒適、愉快。　2.豪邁、不拘小節的。　3.明亮、清朗。　4.差誤、違失。　5.糟蹋或可惜。,"例：鬆爽。
例：豪爽。
例：秋高氣爽。
例：爽約。
例：打爽。", , ,hk0000012027-1-1　
四縣腔,13926,爽約,動,詞目分類索引/人際互動,song31 iog2,songˋ iogˋ,sóng-yok,song3-yok6,,失約，不依照約定。,例：為著上擺𠊎臨時爽約个事，佢一直無麼个歡喜。(為了上次我臨時爽約的事，他一直不太高興。),失約, ,hk0000012028-1-1　
四縣腔,13927,爽人,動,詞目分類索引/人際互動,song31 ngin11,songˋ nginˇ,sóng-ngìn,song3-ngin2,,趁人不注意時破壞他人的東西，造成損害。,例：爽人个事情定著毋好做！(破壞他人物品的事情千萬不可以做！), , ,hk0000012030-1-1　
四縣腔,13928,爽本, , ,song31 bun31,songˋ bunˋ,sóng-pún,song3-pun3,,糟蹋、浪費。耗費很高的成本或花費很多的本錢。　,例：會議室个桌凳還好好，就全部換過新个，實在還爽本。(（會議室的桌椅還好好的，就全部換新的，真是浪費。）),打爽耗爽捨本, ,hk0000012031-1-1　
四縣腔,13929,賞,動,"詞目分類索引/人際互動
詞目分類索引/人物品評",song31,songˋ,sóng,song3,,1.將財物等實質物品賜予人，以資鼓勵。與「罰」相對。　2.賜予或獎給的事物。　3.讚美、嘉許。　4.欣賞、觀賞、把玩。　5.對他人施恩於己的敬稱。,"例：獎賞。
例：懸賞。
例：贊賞。
例：賞月。
例：賞光。", , ,hk0000012032-1-1　
四縣腔,13930,賞罰,名,"詞目分類索引/人際互動
詞目分類索引/財經法政",song31 fad5,songˋ fad,sóng-fa̍t,song3-fat5,,獎勵有功勞的人與責罰有罪過的人。,例：佢係一位賞罰嚴明个法官。(他是一位賞罰嚴明的法官。), , ,hk0000012033-1-1　
四縣腔,13931,賞識,動,詞目分類索引/人際互動,song31 siid2,songˋ siidˋ,sóng-sṳt,song3-siit6,,認識別人的才能而加以欣賞、器重。,例：阿祥哥當有才能，頭家當賞識佢。(阿祥哥很有才能，老闆很賞識他。), , ,hk0000012034-1-1　
四縣腔,13932,償, , ,song31,songˋ,sóng,song3,,1.歸還、送還。　2.實現、完成。　3.相抵、抵補。,"例：償還。
例：如願以償。
例：賠償。", , ,hk0000012035-1-1　
四縣腔,13933,償還,動,詞目分類索引/財經法政,song31 van11,songˋ vanˇ,sóng-vàn,song3-van2,,清償、歸還。,例：佢為著償還厥爸過身以後所留下來个債務，無日無夜煞猛做事。(他為了償還父親身後所留下的債務，不分晝夜努力工作。),賠, ,hk0000012036-1-1　
四縣腔,13934,上,形,詞目分類索引/空間方位,song55,song,song,song4,,1.在高處。　2.表時間或次序在前的、在前面的。　3.等級、品質高的。　4.接在名詞後，表示位置、範圍、過程或某方面等。　5.對他人的尊稱。　6.指手臂或腿的上半部，即上臂或大腿部位。,"例：上頭。
例：上擺（上一次）。
例：上等貨。
例：表面上。
例：上姓。
例：上想（上臂、大腿）。", , ,hk0000012037-1-1　
四縣腔,13935,上背,名,詞目分類索引/空間方位,song55 boi55,song boi,song-poi,song4-poi4,,1.上面，指距離或位置較北。　2.在臺灣俗稱「北部」為「上背」。,"例：𠊎屋下歇到厥屋下上背，有閒來尞。(我家住在他家的上面，有空來坐坐。)
例：老妹嫁去上背歸年了，吂識轉外家。(妹妹嫁去北部一年了，不曾回娘家。)",上港, ,hk0000012039-1-1　
四縣腔,13936,上帝,名,詞目分類索引/宗教民俗,song55 di55,song di,song-ti,song4-ti4,,基督教徒對其所信仰、崇拜的神的稱呼，又稱為「天主」。,例：阿來妹求上帝保佑全家人平安健康。(阿來妹求上帝保佑全家人平安健康。), , ,hk0000012040-1-1　
四縣腔,13937,上當,動,詞目分類索引/人際互動,song55 dong55,song dong,song-tong,song4-tong4,,吃虧、被人欺騙。,例：佢講話毋老實，你莫上當。(他講話不老實，你不要受騙。), , ,hk0000012041-1-1　
四縣腔,13938,上家,名,詞目分類索引/稱謂身分,song55 ga24,song gaˊ,song-kâ,song4-ka1,,前面一戶人家。,例：滿姑戴在𫣆上家。(小姑姑住在我們前面一戶人家。),上屋　上家屋,下家,hk0000012042-1-1　
四縣腔,13939,上格,名,詞目分類索引/器物用品,song55 gag2,song gagˋ,song-kak,song4-kak6,,櫥櫃的上方層架。,例：該兜書放在書架仔上格，看忒愛放轉去。(那些書放在書架上層，看完要放回去。), , ,hk0000012043-1-1　
四縣腔,13940,上港,名,詞目分類索引/空間方位,song55 gong31,song gongˋ,song-kóng,song4-kong3,,北部，指臺中以北的地區。,例：老弟高中畢業以後就去上港做事。(弟弟高中畢業以後就去北部工作。),上背, ,hk0000012044-1-1　
四縣腔,13941,上古,名,詞目分類索引/時間節令,song55 gu31,song guˋ,song-kú,song4-ku3,,以前、從前。,例：上古个時節，這搭仔係歸片樹林，這下全部都起屋了。(從前，這裡是整片樹林，現在全部都蓋房子了。),上早　頭擺, ,hk0000012045-1-1　
四縣腔,13942,上杭, ,詞目分類索引/空間方位,song55 hong11,song hongˇ,song-hòng,song4-hong2,,縣名。屬福建省，位於汀江中游。是閩西金三角和珠江三角洲的腹地及閩西、粵東、贛南的交通樞紐和物產集散地。居民以漢族為主，其中以客家人居多，方言屬客家語系，為名揚海外的客家祖地。境內的李氏大宗祠，是目前福建省保存最完整、規模最大的宗祠，以獨特的建築特色和在客家遷徙史上的重要地位而引人注目。,, , ,hk0000012047-1-1　
四縣腔,13943,上游,名,詞目分類索引/空間方位,song55 iu11,song iuˇ,song-yù,song4-yu2,,河流發源地及附近的區域。,例：河壩个上游做毋得畜頭牲，避免汙染水源。(河川的上游不可以畜養牲畜，避免汙染水源。), , ,hk0000012049-1-1　
四縣腔,13944,上將,名,"詞目分類索引/產業勞動
詞目分類索引/財經法政
詞目分類索引/稱謂身分",song55 jiong55,song jiong,song-chiong,song4-chiong4,,為我國現行陸、海、空軍將級軍階的一種。位在中將之上，共有二級上將，一級上將，特級上將三等。,例：阿伯在海軍恁多年，這下階級係上將。(伯父在海軍這麼多年，現在階級是上將。), , ,hk0000012051-1-1　
四縣腔,13945,上流,形,"詞目分類索引/人物品評
詞目分類索引/事物情狀",song55 liu11,song liuˇ,song-liù,song4-liu2,,上等或地位尊貴的。,例：上流社會个生活，毋係普通人過得起个。(上流社會的生活，不是普通人過得起的。),一流　上等, ,hk0000012053-1-1　
四縣腔,13946,上品,形,詞目分類索引/事物情狀,song55 pin31,song pinˋ,song-phín,song4-phin3,,最上等的品級、類別。,例：「烏珍珠」蓮霧係臺灣上品个水果。(「黑珍珠」蓮霧是臺灣上等的水果。),一等, ,hk0000012054-1-1　
四縣腔,13947,上頭, ,"詞目分類索引/空間方位
詞目分類索引/稱謂身分",song55 teu11,song teuˇ,song-thèu,song4-theu2,,上面。,例：這個計畫上頭个長官准吔，做得開始進行哩。(這個計畫上面的長官批准了，可以開始進行了。),頂高　頂背　頂項　上頭,底下　下背　下頭,hk0000012056-1-1　
四縣腔,13948,上想, ,"詞目分類索引/人體器官
詞目分類索引/疾病醫療",song55 xiong31,song xiongˋ,song-sióng,song4-siong3,,上截，指手臂或腿的上半部，即上臂或大腿部位。,例：𫣆人个手同腳都共樣，上想單支骨，下想雙支骨。(我們人的手跟腳都一樣，上截單支骨，下截兩支骨。), , ,hk0000012059-1-1　
四縣腔,13949,上奏,動,"詞目分類索引/人際互動
詞目分類索引/財經法政",song55 zeu55,song zeu,song-cheu,song4-cheu4,,下級向上級呈報事務。,例：頭擺國家毋管發生麼个事情，大臣都愛上奏皇帝。(以前國家不管發生什麼事情，大臣都要向皇帝呈報。), , ,hk0000012060-1-1　
四縣腔,13950,上早,名,詞目分類索引/時間節令,song55 zo31,song zoˋ,song-chó,song4-cho3,,1.指很早以前，甚至是古代的意思。　2.稍早、早先。,"例：當多生趣个老古人言，係上早流傳下來个。(很多有趣的俚俗諺語，是很久以前流傳下來的。)
例：上早佢講日時頭愛來，仰會恁暗還吂來？(早先他講白天要來，怎麼這麼晚還沒來？)",以前　頭擺　頭過, ,hk0000012061-1-1　
四縣腔,13951,上等貨,名,詞目分類索引/器物用品,song55 den31 fo55,song denˋ fo,song-tén-fo,song4-ten3-fo4,,質量高、品質好的貨品。,例：這間店仔賣个東西都係上等貨。(這間商店賣的東西都是品質好的貨品。),一等貨, ,hk0000012063-1-1　
四縣腔,13952,上家屋,名,詞目分類索引/建築住居,song55 ga24 vug2,song gaˊ vugˋ,song-kâ-vuk,song4-ka1-vuk6,,前面那一家。,例：阿公同阿伯戴在上家屋，逐暗晡阿爸都會去看佢。(爺爺跟伯父住在前面那一家，每天晚上爸爸都會去看他。),上家　上屋, ,hk0000012064-1-1　
四縣腔,13953,上隻月,名,詞目分類索引/時間節令,song55 zag2 ngied5,song zagˋ ngied,song-chak-ngie̍t,song4-chak6-ngiet5,,上個月。,例：上隻月正聽人講佢當健，仰會一下就病到恁嚴重？(上個月才聽人說他很健康，怎麼會一下子就病得這麼嚴重？), , ,hk0000012065-1-1　
四縣腔,13954,上梁不正下梁歪,諺, ,song55 liong11 bud2 ziin55 ha24 liong11 vai24,song liongˇ budˋ ziin haˊ liongˇ vaiˊ,song liòng put chṳn hâ liòng vâi,song4 liong2 put6 chiin4 ha1 liong2 vai1,,屋子的主棟梁不正，則其餘的梁柱也就跟著歪了；比喻在上位的人或長輩行為不正，其下者或晚輩也受影響而行為不正。,例：上梁不正下梁歪，故所做世大人講話毋好信嘴出。(上梁不正下梁也就跟著歪了，所以當長輩講話不可信口開河。), , ,hk0000012067-1-1　
四縣腔,13955,尚, , ,song55,song,song,song4,,1.尊崇、重視。　2.囂張、跋扈。　3.胡語的音譯。泛稱男性僧侶。　4.姓。,"例：尚武。
例：尚勝。
例：和尚。", , ,hk0000012068-1-1　
四縣腔,13956,喪, ,詞目分類索引/思維心態,song55,song,song,song4,,失敗、不得志的樣子。,例：落喪。, , ,hk0000012069-1-1　
四縣腔,13957,收,動, ,su24,suˊ,sû,su1,,1.把攤開、零散的狀態加以聚攏、縮合起來。　2.接到、取回、獲得。　3.割取已成熟的農作物。　4.保存儲藏。　5.整飭、清理。　6.容納、接納。　7.拘押、捉拿。　8.結束、停止。　9.操縱、約束。,"例：收集。
例：收支。
例：收冬。
例：你愛摎這張畫圖收好勢。(你要把這張圖保存好。)
例：收揫。
例：收留。
例：收押。
例：收尾。
例：收心。", , ,hk0000012070-1-1　
四縣腔,13958,收押,動,詞目分類索引/財經法政,su24 ab2,suˊ abˋ,sû-ap,su1-ap6,,將犯人扣留拘捕監禁起來。,例：係講罪證明確，法官就做得摎犯人收押禁見。(假使罪證明確，法官即可將犯人收押禁見。), , ,hk0000012071-1-1　
四縣腔,13959,收兵,動,詞目分類索引/財經法政,su24 bin24,suˊ binˊ,sû-pîn,su1-pin1,,1.招攬吸收士兵。　2.撤退士兵或軍隊。,"例：一到暑假，總係有當多个軍校為著收兵招生个工作無閒。(一到暑假，總是有很多的軍校為了收兵招生的工作忙碌著。)
例：將軍一看著勢頭毋對，黏時鳴金收兵，退守營地。(將軍一見情勢不妙，立即鳴金收兵，退守營地。)", , ,hk0000012072-1-1　
四縣腔,13960,收著,動, ,su24 do31,suˊ doˋ,sû-tó,su1-to3,,收到、接到。,例：老妹逐擺收著厥朋友寫來个信，面項總係笑咪咪仔。(妹妹每次收到她朋友寫來的信，臉上總是笑咪咪的。), , ,hk0000012074-1-1　
四縣腔,13961,收到,動, ,su24 do55,suˊ do,sû-to,su1-to4,,東西收藏。,例：你知蘿蔔絲收到哪放無？冰箱肚𠊎尋無。(你知道乾蘿蔔絲收到哪了嗎？我沒在冰箱裡找到。), , ,hk0000012075-1-1　
四縣腔,13962,收工,動,詞目分類索引/產業勞動,su24 gung24,suˊ gungˊ,sû-kûng,su1-kung1,,完成或結束工作。,例：今晡日有風搓愛來，故所提早收工。(今天有颱風要來，所以提早收工。), , ,hk0000012078-1-1　
四縣腔,13963,收馬,動,"詞目分類索引/人際互動
詞目分類索引/事物情狀",su24 ma24,suˊ maˊ,sû-mâ,su1-ma1,,轉圜、調解、收拾。,例：事到如今，收馬毋轉，愛仰結煞正好？(事到如今，無法收拾，要如何才好？), , ,hk0000012080-1-1　
四縣腔,13964,收買,動,"詞目分類索引/人際互動
詞目分類索引/財經法政",su24 mai24,suˊ maiˊ,sû-mâi,su1-mai1,,用錢財或利益買通籠絡人，使其能受己所利用。,例：佢做官清廉，麼人也收買佢毋著。(他為官清廉，誰也收買不了他。),買收, ,hk0000012081-1-1　
四縣腔,13965,收尾,動, ,su24 mi24,suˊ miˊ,sû-mî,su1-mi1,,收場、結尾。,例：這齣戲个收尾當精彩，大家都當阿腦。(這齣戲的結尾很精彩，大家都相當稱讚。), ,起點,hk0000012082-1-1　
四縣腔,13966,收拾,動, ,su24 siib5,suˊ siib,sû-sṳ̍p,su1-siip5,,1.把散亂的東西加以收集整理、處理。　2.折磨、懲處，後借指取人性命之意。,"例：逐日收拾自家个間房係𠊎從細到大个習慣。(每天收拾自己的房間是我從小到大的習慣。)
例：職業殺手係分人請來收拾人命个人。(職業殺手是受僱取人性命的人。)", , ,hk0000012084-1-1　
四縣腔,13967,收心,動,詞目分類索引/思維心態,su24 xim24,suˊ ximˊ,sû-sîm,su1-sim1,,約束放縱散漫的心，或約束自己做壞事的意念。,例：年假都放煞了，請你收心摎精神放在工作項，好無？(年假都放完了，請你收心把精神放在工作上，好嗎？), , ,hk0000012088-1-1　
四縣腔,13968,收租,動,詞目分類索引/建築住居,su24 zu24,suˊ zuˊ,sû-chû,su1-chu1,,收取房屋或土地等的租金。,例：阿爸逐隻月都會親身去向房客收租。(爸爸每個月都會親自去向房客收租。), , ,hk0000012089-1-1　
四縣腔,13969,收轉去,動, ,su24 zon31 hi55,suˊ zonˋ hi,sû-chón-hi,su1-chon3-hi4,,收回去、拿回去。,例：雞嫲生个雞卵分阿婆收轉去煎菜脯卵了。(母雞生的雞蛋被奶奶拿回去煎菜脯蛋了。), , ,hk0000012092-1-1　
四縣腔,13970,收壞銅壞鐵,動,詞目分類索引/產業勞動,su24 fai31 tung11 fai31 tied2,suˊ faiˋ tungˇ faiˋ tiedˋ,sû fái thùng fái thiet,su1 fai3 thung2 fai3 thiet6,,收取別人所丟棄不用的五金類物品。,例：佢收壞銅壞鐵係為著做環保。(他收壞銅壞鐵是為了做環保。), , ,hk0000012093-1-1　
四縣腔,13971,書,名,"詞目分類索引/器物用品
詞目分類索引/教育文化",su24,suˊ,sû,su1,,1.以文字或圖畫來記載事物的冊子。　2.信件、信札。　3.文件。　4.字體、書體。　5.寫、記載。,"例：百科全書。
例：家書。
例：證明書。
例：楷書。
例：書墊仔。", , ,hk0000012094-1-1　
四縣腔,13972,書本,名,詞目分類索引/教育文化,su24 bun31,suˊ bunˋ,sû-pún,su1-pun3,,裝訂成冊的書籍。,例：優良个書本做得帶分𫣆良好个智識。(優良的書本可以帶給我們良好的知識。), , ,hk0000012096-1-1　
四縣腔,13973,書法,名,詞目分類索引/教育文化,su24 fab2,suˊ fabˋ,sû-fap,su1-fap6,,1.毛筆字書寫的方法。主要講究執筆、用筆、點畫、結構、分布等方法。　2.用毛筆書寫而成的文字作品。,"例：書法係中國个一種傳統藝術。(書法是中國的一種傳統藝術。)
例：這幅書法係宋朝蘇東坡个作品。(這幅書法是宋朝蘇東坡的作品。)", , ,hk0000012098-1-1　
四縣腔,13974,書房,名,"詞目分類索引/建築住居
詞目分類索引/教育文化",su24 fong11,suˊ fongˇ,sû-fòng,su1-fong2,,書齋。指讀書寫字的房間。,例：阿公當好一儕人坐在書房裡背看書。(爺爺很喜歡一個人坐在書房裡看書。), , ,hk0000012099-1-1　
四縣腔,13975,書院,名,"詞目分類索引/建築住居
詞目分類索引/教育文化",su24 ien55,suˊ ien,sû-yen,su1-yen4,,舊時私人講學的場所。,例：唐朝係中國頭一個設置書院个朝代。(唐朝是中國第一個設置書院的朝代。), , ,hk0000012100-1-1　
四縣腔,13976,書簽,名,"詞目分類索引/器物用品
詞目分類索引/教育文化",su24 qiam24,suˊ qiamˊ,sû-chhiâm,su1-chhiam1,,夾在書裡，用作閱讀進度標識的卡片。,例：這套書簽係舊年阿姊送分𠊎个生日禮物。(這套書籤是去年姊姊送給我的生日禮物。), , ,hk0000012101-1-1　
四縣腔,13977,書生,名,"詞目分類索引/稱謂身分
詞目分類索引/教育文化",su24 sen24,suˊ senˊ,sû-sên,su1-sen1,,讀書人，即現今所說的知識分子。,例：佢係一個溫文儒雅、謙恭有禮个書生。(他是一個溫文儒雅、謙恭有禮的書生。), , ,hk0000012102-1-1　
四縣腔,13978,書籍,名,詞目分類索引/教育文化,su24 xid5,suˊ xid,sû-si̍t,su1-sit5,,書本冊籍的總稱。,例：圖書館裡背蒐集當多各式各樣个書籍。(圖書館裡收藏了很多各式各樣的書籍。), , ,hk0000012103-1-1　
四縣腔,13979,書信,名,"詞目分類索引/器物用品
詞目分類索引/教育文化",su24 xin55,suˊ xin,sû-sin,su1-sin4,,往來通訊、慰問的信件。,例：阿哥當兵該下，逐隻月就會寫一封書信轉來摎阿爸阿姆報平安。(哥哥當兵時，每個月都會寫一封書信回來和爸爸媽媽報平安。), , ,hk0000012104-1-1　
四縣腔,13980,殊, , ,su24,suˊ,sû,su1,,1.特別的、異常的。　2.不同的、互異的。,"例：特殊教育。
例：殊途同歸。", , ,hk0000012106-1-1　
四縣腔,13981,殊途同歸,形,詞目分類索引/事物情狀,su24 tu11 tung11 gui24,suˊ tuˇ tungˇ guiˊ,sû-thù-thùng-kûi,su1-thu2-thung2-kui1,,走不同的道路，卻能到達同一目的。比喻所採取的方法雖不盡相同，但得到的結果卻是相同的。,例：當多宗教教義殊途同歸，最尾都係在該勸化人為善个。(許多宗教教義殊途同歸，最後都是在勸人為善的。), , ,hk0000012107-1-1　
四縣腔,13982,酥, ,"詞目分類索引/事物情狀
詞目分類索引/飲食",su24,suˊ,sû,su1,,1.以油和麵粉等製成的鬆脆食品。　2.鬆脆易碎貌。　,酥糖。(酥酥。), , ,hk0000012108-1-1　
四縣腔,13983,酥餅,名,詞目分類索引/飲食,su24 biang31,suˊ biangˋ,sû-piáng,su1-piang3,,一種由麵粉、奶油、糖、發泡劑等調配烤製而成的鬆脆食品。,例：這間店仔賣个乳油酥餅當好食。(這間店賣的奶油酥餅很好吃。), , ,hk0000012109-1-1　
四縣腔,13984,酥糖,名,詞目分類索引/飲食,su24 tong11,suˊ tongˇ,sû-thòng,su1-thong2,,用麵粉、糖與芝麻或花生等製成的甜食。,例：阿姆自家做个酥糖又香又好食。(媽媽自己做的花生酥糖又香又好吃。), , ,hk0000012110-1-1　
四縣腔,13985,舒, , ,su24,suˊ,sû,su1,,1.伸展、舒張。　2.遲緩、從容不迫。　3.安逸、暢快。　4.姓。,"例：舒張壓。
例：舒緩。
例：舒適。", , ,hk0000012111-1-1　
四縣腔,13986,舒服,形,"詞目分類索引/思維心態
詞目分類索引/事物情狀",su24 fug5,suˊ fug,sû-fu̍k,su1-fuk5,,身心感到輕鬆愉悅。,例：一陣陣个涼風向面頭前吹來，感覺真舒服。(一陣陣的涼風迎面吹來，感覺真舒服。),鬆爽, ,hk0000012112-1-1　
四縣腔,13987,舒適, ,"詞目分類索引/事物情狀
詞目分類索引/生活狀態",su24 siid2,suˊ siidˋ,sû-sṳt,su1-siit6,,舒服安適，自在合意。,例：天下無白食个午餐，肯煞猛打拚，定著做得過還較舒適个生活。(天下沒有白吃的午餐，肯努力打拚，一定能過更舒適的生活。), , ,hk0000012113-1-1　
四縣腔,13988,蔬, ,"詞目分類索引/飲食
詞目分類索引/植物",su24,suˊ,sû,su1,,食用草本植物的通稱，如青菜瓜果類等。,例：蔬菜。, , ,hk0000012114-1-1　
四縣腔,13989,輸,動,詞目分類索引/事物情狀,su24,suˊ,sû,su1,,1.運送、轉運。　2.負、敗。與「贏」相對。,"例：輸送。
例：無輸無贏。", , ,hk0000012115-1-1　
